order_number,order_date,line_items,fulfillment
387005,2016-01-22,"[
  {
    ""product"": {
      ""product_name"": ""MGS Age of Empires II Gold Edition2009 E172"",
      ""product_price"": 32
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""A. Datum Bridge Digital Camera M300 Pink"",
      ""product_price"": 186.9
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1801 Silver"",
      ""product_price"": 269.9
    },
    ""quantity"": 1
  }
]",In store
395005,2016-01-30,"[
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 60 DVD Storage Binder L20 Black"",
      ""product_price"": 22.89
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 38 DVD Storage Binder E25 Silver"",
      ""product_price"": 9.99
    },
    ""quantity"": 5
  }
]",In store
423011,2016-02-27,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 16GB Mp5 Player M1600 Blue"",
      ""product_price"": 199.9
    },
    ""quantity"": 1
  }
]",In store
600006,2016-08-22,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 2.6GPM E0900 Green"",
      ""product_price"": 508
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Pen Touch Screen Phones-2.6 M320 Black"",
      ""product_price"": 290
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso USB Wave Multi-media Keyboard E280 Black"",
      ""product_price"": 15.9
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""SV 16xDVD M320 Black"",
      ""product_price"": 119
    },
    ""quantity"": 7
  }
]",Online
652002,2016-10-13,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Genuine Leather Grip Belt E322 Black"",
      ""product_price"": 77.99
    },
    ""quantity"": 8
  }
]",In store
666011,2016-10-27,"[
  {
    ""product"": {
      ""product_name"": ""WWI Wireless Transmitter and Bluetooth Headphones X250 Silver"",
      ""product_price"": 249.99
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC3.0 MS300 Silver"",
      ""product_price"": 469
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""SV 16xDVD M310 Black"",
      ""product_price"": 129
    },
    ""quantity"": 2
  }
]",In store
701003,2016-12-01,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Coffee Maker 4C E080 Black"",
      ""product_price"": 129.9
    },
    ""quantity"": 1
  }
]",In store
728013,2016-12-28,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 58 DVD Storage Binder M55 Black"",
      ""product_price"": 13.89
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Wall Lamp E0315 Blue"",
      ""product_price"": 101.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Coffee Maker Auto 5C E090 Black"",
      ""product_price"": 163
    },
    ""quantity"": 3
  }
]",In store
744000,2017-01-13,"[
  {
    ""product"": {
      ""product_name"": ""WWI Wireless Bluetooth Stereo Headphones M170 Pink"",
      ""product_price"": 120
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Phone with 13-Number Memory (210) M301 Grey"",
      ""product_price"": 16.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""SV 8xDVD E100 Black"",
      ""product_price"": 69
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""Litware Microwave 1.0CuFt E110 Silver"",
      ""product_price"": 139.99
    },
    ""quantity"": 2
  }
]",In store
755003,2017-01-24,"[
  {
    ""product"": {
      ""product_name"": ""Proseware Laptop15.4W M518 Black"",
      ""product_price"": 758
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 1.5GPM E0800 Grey"",
      ""product_price"": 257.5
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Expandable 2-Handset Cordless Phone System M205 Grey"",
      ""product_price"": 40.19
    },
    ""quantity"": 5
  }
]",Online
